id_user,locality,speciality
43247,"Donostia/San Sebastián","Protección de datos"
43247,"Donostia/San Sebastián",Concursal
43247,"Donostia/San Sebastián","Herencias y Testamentos"
43247,"Donostia/San Sebastián","Propiedad Intelectual"
43247,"Donostia/San Sebastián",Energía
43247,"Donostia/San Sebastián",Alquileres
43240,Alcorcón,Tributario-Fiscal
43240,Alcorcón,"Herencias y Testamentos"
43240,Alcorcón,Administrativo
43240,Alcorcón,Civil
43240,Alcorcón,"Extranjería y Nacionalidad"
43240,Alcorcón,Divorcios
43237,Sevilla,Concursal
43237,Sevilla,Familia
43237,Sevilla,Laboral
43237,Sevilla,Mercantil
43237,Sevilla,Penal
43237,Sevilla,Civil
43227,Barcelona,"Accidentes de tráfico"
43227,Barcelona,Administrativo
43227,Barcelona,Civil
43227,Barcelona,Laboral
43227,Barcelona,Penal
43225,Madrid,Internacional
43225,Madrid,Laboral
43225,Madrid,"Reclamaciones de cantidad"
43225,Madrid,"Seguridad Social"
43225,Madrid,Concursal
43225,Madrid,Administrativo
43222,"Jerez de la Frontera",Civil
43222,"Jerez de la Frontera",Familia
43222,"Jerez de la Frontera",Penal
43222,"Jerez de la Frontera",Divorcios
43222,"Jerez de la Frontera","Reclamaciones de cantidad"
43222,"Jerez de la Frontera","Herencias y Testamentos"
43220,Bilbao,Tributario-Fiscal
43220,Bilbao,Concursal
43214,Estepona,Inmobiliario
43214,Estepona,Cooperativas
43213,Madrid,Penal
43211,Algeciras,Penal
43211,Algeciras,Urbanismo
43211,Algeciras,Administrativo
43211,Algeciras,Deportivo
43205,Madrid,"Herencias y Testamentos"
43205,Madrid,Familia
43205,Madrid,Divorcios
43203,Dénia,"Herencias y Testamentos"
43203,Dénia,Civil
43203,Dénia,"Extranjería y Nacionalidad"
43203,Dénia,"Hipotecario y Notarial"
43203,Dénia,Inmobiliario
43203,Dénia,Internacional
43202,Dénia,"Hipotecario y Notarial"
43202,Dénia,Inmobiliario
43202,Dénia,Internacional
43202,Dénia,"Herencias y Testamentos"
43202,Dénia,"Extranjería y Nacionalidad"
43200,Huelva,Civil
43200,Huelva,Familia
43200,Huelva,Penal
43200,Huelva,Divorcios
43200,Huelva,"Recurso de multas"
43200,Huelva,"Herencias y Testamentos"
43199,"Vilafranca del Penedès","Reclamaciones de cantidad"
43199,"Vilafranca del Penedès","Herencias y Testamentos"
43199,"Vilafranca del Penedès",Inmobiliario
43199,"Vilafranca del Penedès",Civil
43199,"Vilafranca del Penedès","Extranjería y Nacionalidad"
43196,Sevilla,Familia
43196,Sevilla,"Reclamaciones de cantidad"
43196,Sevilla,"Comunidad de propietarios"
43196,Sevilla,Alquileres
43196,Sevilla,Desahucios
43196,Sevilla,"Derecho bancario"
43195,Olivares,Divorcios
43195,Olivares,Familia
43195,Olivares,"Accidentes de tráfico"
43195,Olivares,Civil
43190,Bilbao,"Accidentes de tráfico"
43190,Bilbao,"Nuevas tecnologías"
43190,Bilbao,Penal
43186,Alcobendas,"Nuevas tecnologías"
43186,Alcobendas,"Protección de datos"
43182,Lucena,Seguros
43182,Lucena,Concursal
43182,Lucena,Civil
43182,Lucena,Mercantil
43182,Lucena,Penal
43182,Lucena,Procesal
43179,Valencia,"Seguridad Social"
43179,Valencia,Agrario
43178,Avilés,"Extranjería y Nacionalidad"
43178,Avilés,Familia
43178,Avilés,Penal
43178,Avilés,Divorcios
43178,Avilés,"Herencias y Testamentos"
43176,Villamartín,Urbanismo
43176,Villamartín,Laboral
43176,Villamartín,"Accidentes de tráfico"
43176,Villamartín,Administrativo
43176,Villamartín,Agrario
43176,Villamartín,"Extranjería y Nacionalidad"
43174,"Vilafranca del Penedès","Extranjería y Nacionalidad"
43174,"Vilafranca del Penedès",Laboral
43174,"Vilafranca del Penedès","Seguridad Social"
43174,"Vilafranca del Penedès",Tributario-Fiscal
43174,"Vilafranca del Penedès","Herencias y Testamentos"
43173,Barcelona,"Extranjería y Nacionalidad"
43172,Avilés,"Extranjería y Nacionalidad"
43172,Gijón,"Extranjería y Nacionalidad"
43172,Avilés,Urbanismo
43172,Gijón,Urbanismo
43172,Avilés,"Herencias y Testamentos"
43172,Gijón,"Herencias y Testamentos"
43172,Avilés,Laboral
43172,Gijón,Laboral
43172,Avilés,Mercantil
43172,Gijón,Mercantil
43172,Avilés,Divorcios
43172,Gijón,Divorcios
43167,Aranjuez,"Accidentes de tráfico"
43166,Lorca,"Accidentes de tráfico"
43166,Lorca,Civil
43166,Lorca,"Extranjería y Nacionalidad"
43166,Lorca,Divorcios
43166,Lorca,Familia
43166,Lorca,Laboral
43162,"Navalmoral de la Mata",Familia
43162,"Navalmoral de la Mata",Laboral
43162,"Navalmoral de la Mata",Penal
43162,"Navalmoral de la Mata",Divorcios
43159,Málaga,Divorcios
43159,Málaga,Familia
43159,Málaga,Penal
43156,Gijón,"Hipotecario y Notarial"
43156,Gijón,Mercantil
43156,Gijón,Urbanismo
43156,Gijón,"Herencias y Testamentos"
43156,Gijón,Desahucios
43156,Gijón,Divorcios
43155,"La Palma del Condado","Derecho bancario"
43155,"La Palma del Condado",Familia
43155,"La Palma del Condado",Laboral
43155,"La Palma del Condado",Penal
43155,"La Palma del Condado","Accidentes de tráfico"
43155,"La Palma del Condado",Civil
43154,Móstoles,Civil
43154,Móstoles,Laboral
43154,Móstoles,Penal
43148,Santomera,Familia
43148,Santomera,Civil
43148,Santomera,"Extranjería y Nacionalidad"
43148,Santomera,"Derecho bancario"
43148,Santomera,"Herencias y Testamentos"
43145,Almería,"Extranjería y Nacionalidad"
43144,Madrid,Civil
43144,Madrid,Familia
43144,Madrid,Laboral
43144,Madrid,Penal
43143,Vigo,"Herencias y Testamentos"
43143,Vigo,Alquileres
43143,Vigo,Desahucios
43143,Vigo,Divorcios
43142,"Vilanova i la Geltrú",Inmobiliario
43142,"Vilanova i la Geltrú",Administrativo
43142,"Vilanova i la Geltrú","Extranjería y Nacionalidad"
43142,"Vilanova i la Geltrú","Herencias y Testamentos"
43142,"Vilanova i la Geltrú",Alquileres
43141,Palma,"Recurso de multas"
43141,Palma,Familia
43141,Palma,Laboral
43141,Palma,Penal
43141,Palma,Divorcios
43141,Palma,"Extranjería y Nacionalidad"
43137,Zaragoza,Civil
43137,Zaragoza,Mercantil
43137,Zaragoza,"Reclamaciones de cantidad"
43136,Errenteria,"Reclamaciones de cantidad"
43136,Errenteria,"Recurso de multas"
43136,Errenteria,General
43136,Errenteria,Administrativo
43136,Errenteria,"Derecho bancario"
43132,Madrid,Mercantil
43132,Madrid,Concursal
43125,Cádiz,Concursal
43125,Cádiz,Divorcios
